Данные_FuelStatistic_Номер;Text2;TextMonObjectName;TextMonObjectRegNum;TextMonObjectDescription;Text9;Текст9;Текст10;Текст11;Текст12;Текст13;Текст29
1;Грузовые;ЗИЛ шмиль;ю 652 юю;Курьер мольер;01.08.2013;14:03:31;0;405,90;97,42;14:03:31;0
2;;;;;02.08.2013;11:00:17;0;539,27;129,42;11:00:17;0
3;;;;;03.08.2013;23:56:31;0;971,19;233,09;23:56:31;0
4;;;;;04.08.2013;23:59:46;0;970,54;232,93;23:59:46;0
5;;;;;05.08.2013;23:59:46;0;1 217,54;292,21;23:59:46;0
6;;;;;06.08.2013;23:50:46;0;821,19;197,09;23:50:46;0:01:30
7;;;;;07.08.2013;23:58:14;0;676,13;162,27;23:58:14;0
8;;;;;08.08.2013;23:14:34;0;614,87;147,57;23:14:34;0
9;;;;;09.08.2013;23:58:38;0;498,48;119,63;23:58:38;0
10;;;;;10.08.2013;23:59:22;0;1 098,25;263,58;23:59:22;0
11;;;;;11.08.2013;23:55:31;0;681,80;163,63;23:55:31;0
12;;;;;12.08.2013;23:59:46;0;1 115,76;267,78;23:59:46;0
13;;;;;13.08.2013;23:59:25;0;1 122,50;269,40;23:59:25;0
14;;;;;14.08.2013;21:21:39;0;934,02;224,16;21:21:39;0:01:30
15;;;;;15.08.2013;23:56:15;0;973,89;233,73;23:56:15;0
16;;;;;16.08.2013;23:59:46;0;593,83;142,52;23:59:46;0
17;;;;;17.08.2013;23:59:31;0;370,75;88,98;23:59:31;0
18;;;;;18.08.2013;23:56:01;0;843,28;202,39;23:56:01;0
19;;;;;19.08.2013;23:54:55;0;931,14;223,47;23:54:55;0
20;;;;;20.08.2013;20:49:15;0;877,54;210,61;20:49:15;0
21;;;;;21.08.2013;23:59:46;0;1 167,00;280,08;23:59:46;0
22;;;;;22.08.2013;23:52:24;0;912,24;218,94;23:52:24;0
23;;;;;23.08.2013;11:41:00;0;494,03;118,57;11:41:00;0
24;;;;;24.08.2013;23:59:06;0;994,14;238,59;23:59:06;0
25;;;;;25.08.2013;23:56:31;0;455,68;109,36;23:56:31;0
26;;;;;26.08.2013;23:59:46;0;410,15;98,44;23:59:46;0
27;;;;;27.08.2013;23:59:01;0;1 015,93;243,82;23:59:01;0
28;;;;;28.08.2013;23:59:46;0;1 047,72;251,45;23:59:46;0
29;;;;;29.08.2013;23:56:45;0;870,43;208,90;23:56:45;0
30;;;;;30.08.2013;18:38:15;0;914,88;219,57;18:38:15;0
31;;;;;31.08.2013;23:58:15;0;1 050,47;252,11;23:58:15;0
32;;Камаз трололо );д 555 дд;Мусоровоз;01.08.2013;4:56:06;8:30:50;165,81;16,58;13:26:56;0
33;;;;;02.08.2013;4:00:59;7:59:48;126,56;12,66;12:00:47;0
34;;;;;03.08.2013;9:12:10;14:46:51;321,62;32,16;23:59:01;0
35;;;;;04.08.2013;9:22:10;14:36:12;319,65;31,96;23:58:22;0
36;;;;;05.08.2013;9:21:49;14:36:12;325,28;32,53;23:58:01;0
37;;;;;06.08.2013;9:12:49;14:41:58;316,71;31,67;23:54:47;0
38;;;;;07.08.2013;9:00:15;14:55:17;296,98;29,70;23:55:32;0
39;;;;;08.08.2013;8:45:14;14:29:35;308,55;30,85;23:14:49;0
40;;;;;09.08.2013;9:06:46;14:50:25;311,70;31,17;23:57:11;0
41;Грузовые;Камаз трололо );д 555 дд;Мусоровоз;10.08.2013;9:22:59;14:36:51;325,11;32,51;23:59:50;0
