Text25;Text14;Text24;Text16;Text19;Text8;Text111;Text11;Text34;Текст7;Text36;Text31;Text40;Text7;Text9;Text10;Text49;Text5
1;Грузовые;ЗИЛ на склад его;з 12345 зzzз;Бензовоз;16.08.2013;0,0;Емкость 3;0;0;0;0;0;;;; ;0:00
2;;;;;;0,0;якБак;88;123;8;43;0;;;; ;0:00
3;;;;;17.08.2013;0,0;Емкость 3;0;0;0;0;0;;;; ;0:00
4;;;;;;0,0;якБак;123;105;18;0;0;;;; ;0:00
5;;;;;18.08.2013;0,8;Емкость 3;0;0;0;0;0;;;; ;0:44
6;;;;;;0,8;якБак;105;92;13;0;0;;;; ;0:44
7;;ЗИЛ шмиль;ю 652 юю;Курьер мольер;16.08.2013;593,8;;;;;;;;;; ;22:01
8;;;;;17.08.2013;370,8;;;;;;;;;; ;9:21
9;;;;;18.08.2013;843,3;;;;;;;;;; ;15:20
10;;Камаз трололо );д 555 дд;Мусоровоз;16.08.2013;318,0;;;;;;;;;; ;23:14
11;;;;;17.08.2013;308,9;;;;;;;;;; ;23:27
12;;;;;18.08.2013;313,8;;;;;;;;;; ;23:50
13;Легковые;Газель ы 012 ыы ы 012 ыы и ещё много букаввввв;ы 012 ыы и ещё много букаввввв;Газель - Мазель;16.08.2013;451,9;;;;;;;;;; ;19:14
14;;;;;17.08.2013;567,7;;;;;;;;;; ;22:33
15;;;;;18.08.2013;353,9;;;;;;;;;; ;21:34
16;;Лада й 963 йййцйц546;й 963 йй;Лада Р 932 ВС 23 rus;16.08.2013;449,6;;;;;;;;;; ;23:59
17;;;;;17.08.2013;803,9;;;;;;;;;; ;23:57
18;;;;;18.08.2013;732,8;;;;;;;;;; ;23:45
