Text37;Текст4;Text36;Текст5;Text1;Text2;Text3;Text44;Text20;Text38;Text23;Text39;Text42
Организация;;Демо;;;;;;;;;;
Группа;;Грузовые;;;;;;;Ёмкость №1;;якБак ;
Наименование;;ЗИЛ на склад его;;;;;;;№2;;Цистерна;
Рег. №;;з 12345 зzzз;;;;;;;№3;;Емкость 3;
Позывной;;Бензовоз;;;;;;;№4;;;
№;Дата и время;;Датчик  уровня  топлива  №1;Датчик  уровня  топлива  №2;Датчик  уровня  топлива  №3;Датчик  уровня  топлива  №4;Уровень  топлива  (Емкость 3);Уровень  топлива  (якБак);Уровень  топлива  ();Уровень  топлива  ();Д;П
1;16.08.2013 0:00:00;;0;0;0;0;0;88;0;0;0;0
2;16.08.2013 0:45:00;;0;0;0;0;0;88;0;0;0;0
3;16.08.2013 1:30:00;;0;0;0;0;0;88;0;0;0;0
4;16.08.2013 2:15:00;;0;0;0;0;0;88;0;0;0;0
5;16.08.2013 3:00:00;;0;0;0;0;0;88;0;0;0;0
6;16.08.2013 3:45:00;;0;0;0;0;0;88;0;0;0;0
7;16.08.2013 4:30:00;;0;0;0;0;0;88;0;0;0;0
8;16.08.2013 5:15:00;;0;0;0;0;0;88;0;0;0;0
9;16.08.2013 6:00:00;;0;0;0;0;0;88;0;0;0;0
10;16.08.2013 6:45:00;;0;0;0;0;0;88;0;0;0;0
11;16.08.2013 7:30:00;;0;0;0;0;0;88;0;0;0;0
12;16.08.2013 8:15:00;;0;0;0;0;0;88;0;0;0;0
13;16.08.2013 9:00:00;;0;0;0;0;0;88;0;0;0;0
14;16.08.2013 9:45:00;;0;0;0;0;0;88;0;0;0;0
15;16.08.2013 10:30:00;;0;0;0;0;0;129;0;0;0;1
16;16.08.2013 11:15:00;;0;0;0;0;0;126;0;0;0;1
17;16.08.2013 12:00:00;;0;0;0;0;0;124;0;0;0;1
18;16.08.2013 12:45:00;;0;0;0;0;0;124;0;0;0;0
19;16.08.2013 13:30:00;;0;0;0;0;0;124;0;0;0;0
20;16.08.2013 14:15:00;;0;0;0;0;0;124;0;0;0;0
