Text11;Text9;Text12;Заголовок_данныхInterestPointHistory__История_точек_интереса__STARTTIME;Заголовок_данныхInterestPointHistory__История_точек_интереса__ENDTIME;Text16;Text19;Text15;Text23;Text24
Организация;;Демо;;;;;;;
Группа;;Грузовые;;;;;;;
Наименование;;ЗИЛ на склад его;;;;;;;
Регистрационный №;;з 12345 зzzз;;;;;;;
Описание;;Бензовоз;;;;;;;
Зона интереса;;;Время въезда;Время выезда;Продолжи- тельность (чч:мм:сc);Макс.  скорость (км/ч);Расстояние (км);;
№;Наименование;Описание;;;;;от  предыдущей;в зоне;с начала движения
1;Начало движения;Начало движения;;16.08.13 10:02:20;;;;;0,00
2;Окончание движения;Окончание движения;18.08.13 21:17:22;;;;;;0,93
Организация;;Демо;;;;;;;
Группа;;Грузовые;;;;;;;
Наименование;;ЗИЛ шмиль;;;;;;;
Регистрационный №;;ю 652 юю;;;;;;;
Описание;;Курьер мольер;;;;;;;
Зона интереса;;;Время въезда;Время выезда;Продолжи- тельность (чч:мм:сc);Макс.  скорость (км/ч);Расстояние (км);;
№;Наименование;Описание;;;;;от  предыдущей;в зоне;с начала движения
1;Начало движения;Начало движения;;16.08.13 00:00:02;;;;;0,00
2;Зона интереса 03/20/2013 21:16:45;;16.08.13 01:26:02;16.08.13 01:37:47;00:11:45;87,60;77,47;15,66;77,25
3;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:26:17;16.08.13 20:30:02;00:03:45;85,70;402,68;5,22;495,17
4;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:30:32;16.08.13 20:31:32;00:01:00;85,40;1,07;1,43;501,07
5;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:32:02;16.08.13 20:34:47;00:02:45;85,70;1,07;3,92;503,21
6;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:35:32;16.08.13 20:35:47;00:00:15;85,40;1,43;0;508,20
7;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:36:47;16.08.13 20:37:32;00:00:45;85,70;3,57;1,07;509,99
8;Круг (квадрат);123;17.08.13 10:54:50;17.08.13 11:01:35;00:06:45;87,10;286,80;8,55;797,50
9;Тут пересекается;Поэтому площадь считается неправильно;17.08.13 11:09:50;17.08.13 11:10:20;00:00:30;88,80;10,64;0,70;816,37
10;Зона интереса 25.02.2013 20:36:20;;17.08.13 11:17:50;17.08.13 11:18:05;00:00:15;61,90;8,85;0;825,69
11;Краснода-Архангельск;Очень длинный трек;17.08.13 11:47:35;17.08.13 11:47:50;00:00:15;28,80;43,22;0;859,94
12;Краснода-Архангельск;Очень длинный трек;17.08.13 11:48:05;17.08.13 11:53:20;00:05:15;80,60;43,71;6,49;860,20
13;Краснода-Архангельск;Очень длинный трек;17.08.13 11:53:50;17.08.13 11:54:50;00:01:00;76,10;0,90;1,26;867,22
14;Краснода-Архангельск;Очень длинный трек;17.08.13 11:55:20;17.08.13 11:56:50;00:01:30;76,60;0,95;1,88;869,09
15;Краснода-Архангельск;Очень длинный трек;17.08.13 11:57:35;17.08.13 11:57:50;00:00:15;88,60;1,33;0,36;871,93
16;Краснода-Архангельск;Очень длинный трек;17.08.13 11:58:20;17.08.13 12:02:05;00:03:45;80,20;0,98;4,31;872,98
17;Краснода-Архангельск;Очень длинный трек;17.08.13 12:02:35;17.08.13 12:04:35;00:02:00;87,60;1,04;2,58;877,94
18;Краснода-Архангельск;Очень длинный трек;17.08.13 12:05:50;17.08.13 12:06:50;00:01:00;79,40;1,75;1,26;882,06
19;Краснода-Архангельск;Очень длинный трек;17.08.13 12:07:50;17.08.13 12:08:20;00:00:30;76,30;1,54;0,64;884,58
20;Краснода-Архангельск;Очень длинный трек;17.08.13 12:09:20;17.08.13 12:09:35;00:00:15;77,00;1,58;0;886,47
21;Краснода-Архангельск;Очень длинный трек;17.08.13 12:10:05;17.08.13 12:11:50;00:01:45;73,00;2,83;1,81;887,42
22;Краснода-Архангельск;Очень длинный трек;17.08.13 12:24:35;17.08.13 12:24:50;00:00:15;18,00;1,34;0;890,69
23;Краснода-Архангельск;Очень длинный трек;17.08.13 12:25:05;17.08.13 12:26:05;00:01:00;62,60;1,75;0,99;890,92
24;Краснода-Архангельск;Очень длинный трек;17.08.13 12:26:35;17.08.13 12:29:20;00:02:45;83,80;0,65;3,15;892,32
25;Краснода-Архангельск;Очень длинный трек;17.08.13 12:30:05;17.08.13 12:32:50;00:02:45;85,40;1,42;3,52;896,35
26;Краснода-Архангельск;Очень длинный трек;17.08.13 12:33:35;17.08.13 12:33:50;00:00:15;61,20;0,89;0,26;900,61
27;Краснода-Архангельск;Очень длинный трек;17.08.13 12:34:20;17.08.13 12:34:50;00:00:30;62,90;0,80;0,38;901,36
28;Краснода-Архангельск;Очень длинный трек;17.08.13 12:35:20;17.08.13 12:37:35;00:02:15;48,00;0,47;1,06;902,16
29;Краснода-Архангельск;Очень длинный трек;17.08.13 12:44:20;17.08.13 12:44:50;00:00:30;8,20;0,25;0,04;903,55
30;Краснода-Архангельск;Очень длинный трек;17.08.13 12:45:20;17.08.13 12:46:05;00:00:45;7,00;0,06;0,07;903,66
31;Краснода-Архангельск;Очень длинный трек;17.08.13 12:48:05;17.08.13 12:50:35;00:02:30;79,90;0,92;2,30;904,42
32;Краснода-Архангельск;Очень длинный трек;17.08.13 16:07:20;17.08.13 16:07:35;00:00:15;1,40;27,96;0;934,49
33;Краснода-Архангельск;Очень длинный трек;17.08.13 16:07:50;17.08.13 16:11:05;00:03:15;64,60;28,38;2,44;934,70
34;Краснода-Архангельск;Очень длинный трек;17.08.13 16:11:35;17.08.13 16:12:35;00:01:00;18,50;0,09;0,15;937,38
35;Овал;;17.08.13 16:53:20;18.08.13 07:12:35;14:19:15;82,30;22,99;16,11;960,20
36;Краснода-Архангельск;Очень длинный трек;18.08.13 07:19:20;18.08.13 07:21:35;00:02:15;76,80;7,74;2,55;984,06
37;Краснода-Архангельск;Очень длинный трек;18.08.13 07:22:05;18.08.13 07:29:35;00:07:30;76,80;0,95;5,63;986,96
38;Краснода-Архангельск;Очень длинный трек;18.08.13 07:30:20;18.08.13 07:30:50;00:00:30;82,10;1,29;0,68;993,55
39;Краснода-Архангельск;Очень длинный трек;18.08.13 07:39:35;18.08.13 07:42:05;00:02:30;77,30;11,50;3,14;1 005,42
40;Зона интереса 25.02.2013 20:36:20;;18.08.13 08:10:05;18.08.13 08:10:20;00:00:15;59,80;31,97;0;1 040,27
