Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
1;16.08.2013;00:00:00;16.08.2013;00:17:03;0:17:03;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";
2;16.08.2013;00:17:58;16.08.2013;00:21:20;0:03:22;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";
3;16.08.2013;00:21:24;16.08.2013;00:22:47;0:01:23;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";
4;16.08.2013;00:22:50;16.08.2013;00:27:54;0:05:04;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";
5;16.08.2013;00:28:08;16.08.2013;00:33:13;0:05:05;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";
6;16.08.2013;00:34:00;16.08.2013;00:36:04;0:02:04;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";
7;16.08.2013;00:36:11;16.08.2013;00:38:52;0:02:41;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";
8;16.08.2013;00:42:24;16.08.2013;00:43:50;0:01:26;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";
9;16.08.2013;00:44:03;16.08.2013;00:45:58;0:01:55;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";
10;16.08.2013;00:46:50;16.08.2013;00:48:34;0:01:44;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";
11;16.08.2013;00:49:52;16.08.2013;00:51:45;0:01:53;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";
12;16.08.2013;00:53:11;16.08.2013;00:56:13;0:03:02;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";
13;16.08.2013;00:58:15;16.08.2013;00:59:16;0:01:01;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";
14;16.08.2013;00:59:28;16.08.2013;01:01:16;0:01:48;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";
15;16.08.2013;01:08:48;16.08.2013;01:13:52;0:05:04;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";
16;16.08.2013;01:15:52;16.08.2013;01:22:41;0:06:49;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";
17;16.08.2013;01:50:14;16.08.2013;01:55:37;0:05:23;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";
18;16.08.2013;02:00:54;16.08.2013;02:02:21;0:01:27;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";
19;16.08.2013;02:04:34;16.08.2013;02:15:29;0:10:55;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";
20;16.08.2013;02:16:57;16.08.2013;02:22:04;0:05:07;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";
21;16.08.2013;02:44:52;16.08.2013;02:53:41;0:08:49;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";
22;16.08.2013;03:00:30;16.08.2013;03:17:59;0:17:29;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";
23;16.08.2013;03:19:23;16.08.2013;03:23:43;0:04:20;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";
24;16.08.2013;03:38:16;16.08.2013;03:56:16;0:18:00;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";
25;16.08.2013;04:00:16;16.08.2013;04:23:51;0:23:35;"Долгота=38° 59' 00.18"" Широта=45° 14' 37.18""";
26;16.08.2013;04:27:43;16.08.2013;04:39:17;0:11:34;Хоз двор. Место где находится гараж.;
27;16.08.2013;04:47:01;16.08.2013;04:52:23;0:05:22;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";
28;16.08.2013;04:52:35;16.08.2013;04:55:01;0:02:26;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";
29;16.08.2013;04:55:20;16.08.2013;04:56:29;0:01:09;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";
30;16.08.2013;04:56:32;16.08.2013;05:00:11;0:03:39;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";
31;16.08.2013;05:00:23;16.08.2013;05:02:31;0:02:08;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";
32;16.08.2013;05:03:30;16.08.2013;05:07:48;0:04:18;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";
33;16.08.2013;05:07:54;16.08.2013;05:09:10;0:01:16;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";
34;16.08.2013;05:11:07;16.08.2013;05:12:42;0:01:35;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";
35;16.08.2013;05:13:36;16.08.2013;05:28:49;0:15:13;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";
36;16.08.2013;05:29:19;16.08.2013;05:37:57;0:08:38;Точка №1 ул. Набережная.;
37;16.08.2013;05:42:14;16.08.2013;05:49:46;0:07:32;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";
38;16.08.2013;05:52:23;16.08.2013;05:55:17;0:02:54;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";
39;16.08.2013;05:55:54;16.08.2013;06:07:52;0:11:58;Точка №2 ул.Привокзальная.;
40;16.08.2013;06:08:46;16.08.2013;06:14:36;0:05:50;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";
41;16.08.2013;06:14:52;16.08.2013;06:18:30;0:03:38;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";
42;16.08.2013;06:27:46;16.08.2013;06:35:47;0:08:01;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";
43;16.08.2013;06:40:41;16.08.2013;06:41:59;0:01:18;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";
44;16.08.2013;06:43:21;16.08.2013;06:46:28;0:03:07;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";
45;16.08.2013;06:46:48;16.08.2013;06:49:47;0:02:59;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";
46;16.08.2013;06:51:47;16.08.2013;06:53:21;0:01:34;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";
