Text11;Text20;Text21;Текст10;Text15;TextLocus
1;10:02:20;11:39:16;1:36:56;0,00;"Долгота=39° 55' 26.61"" Широта=43° 27' 08.56"""
2;19:28:28;22:52:52;3:24:24;0,00;"Долгота=39° 55' 26.73"" Широта=43° 27' 08.75"""
3;22:52:53;23:52:23;0:59:30;0,00;"Долгота=39° 55' 26.74"" Широта=43° 27' 08.65"""
1;12:22:34;13:39:57;1:17:23;0,00;"Долгота=39° 55' 26.67"" Широта=43° 27' 08.34"""
2;16:57:34;19:00:20;2:02:46;0,00;"Долгота=39° 55' 26.61"" Широта=43° 27' 08.46"""
3;19:00:22;19:59:37;0:59:15;0,01;"Долгота=39° 55' 26.48"" Широта=43° 27' 08.68"""
4;21:40:25;21:48:29;0:08:04;0,00;"Долгота=39° 55' 25.69"" Широта=43° 27' 08.92"""
1;05:27:34;05:33:38;0:06:04;0,00;"Долгота=39° 55' 26.80"" Широта=43° 27' 08.43"""
2;10:24:04;11:20:45;0:56:41;0,00;"Долгота=39° 55' 26.74"" Широта=43° 27' 08.57"""
3;11:25:57;11:38:51;0:12:54;0,64;"Долгота=39° 55' 46.28"" Широта=43° 26' 58.15"""
4;11:40:36;12:01:30;0:20:54;0,31;"Долгота=39° 55' 37.39"" Широта=43° 26' 50.79"""
5;14:13:52;14:19:41;0:05:49;0,74;"Долгота=39° 55' 26.89"" Широта=43° 27' 08.35"""
6;15:21:29;15:32:42;0:11:13;0,00;"Долгота=39° 55' 26.87"" Широта=43° 27' 08.56"""
7;18:30:35;18:38:34;0:07:59;0,00;"Долгота=39° 55' 26.96"" Широта=43° 27' 08.68"""
8;21:17:22;21:29:23;0:12:01;0,00;"Долгота=39° 55' 26.96"" Широта=43° 27' 08.11"""
1;00:00:00;00:17:03;0:17:03;0,00;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66"""
2;00:17:58;00:21:20;0:03:22;0,14;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06"""
3;00:21:24;00:22:47;0:01:23;0,07;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26"""
4;00:22:50;00:27:54;0:05:04;0,02;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02"""
5;00:28:08;00:33:13;0:05:05;0,10;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20"""
6;00:34:00;00:36:04;0:02:04;0,16;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24"""
7;00:36:11;00:38:52;0:02:41;0,06;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14"""
8;00:42:24;00:43:50;0:01:26;1,81;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51"""
9;00:44:03;00:45:58;0:01:55;0,09;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66"""
10;00:46:50;00:48:34;0:01:44;0,11;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21"""
11;00:49:52;00:51:45;0:01:53;0,20;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95"""
12;00:53:11;00:56:13;0:03:02;0,18;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18"""
13;00:58:15;00:59:16;0:01:01;0,30;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88"""
14;00:59:28;01:01:16;0:01:48;0,07;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62"""
15;01:08:48;01:13:52;0:05:04;4,40;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98"""
16;01:15:52;01:22:41;0:06:49;0,14;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75"""
17;01:50:14;01:55:37;0:05:23;19,51;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12"""
18;02:00:54;02:02:21;0:01:27;2,87;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46"""
19;02:04:34;02:15:29;0:10:55;0,60;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88"""
20;02:16:57;02:22:04;0:05:07;0,25;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90"""
21;02:44:52;02:53:41;0:08:49;17,79;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77"""
22;03:00:30;03:17:59;0:17:29;2,72;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46"""
23;03:19:23;03:23:43;0:04:20;0,26;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95"""
24;03:38:16;03:56:16;0:18:00;6,26;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51"""
25;04:00:16;04:23:51;0:23:35;0,00;"Долгота=38° 59' 00.18"" Широта=45° 14' 37.18"""
26;04:27:43;04:39:17;0:11:34;1,51;Хоз двор. Место где находится гараж.
27;04:47:01;04:52:23;0:05:22;2,82;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51"""
28;04:52:35;04:55:01;0:02:26;0,13;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29"""
29;04:55:20;04:56:29;0:01:09;0,15;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61"""
30;04:56:32;05:00:11;0:03:39;0,07;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50"""
31;05:00:23;05:02:31;0:02:08;0,10;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14"""
32;05:03:30;05:07:48;0:04:18;0,22;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11"""
33;05:07:54;05:09:10;0:01:16;0,07;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87"""
34;05:11:07;05:12:42;0:01:35;0,26;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20"""
35;05:13:36;05:28:49;0:15:13;0,20;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66"""
36;05:29:19;05:37:57;0:08:38;0,08;Точка №1 ул. Набережная.
37;05:42:14;05:49:46;0:07:32;1,24;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00"""
38;05:52:23;05:55:17;0:02:54;0,37;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53"""
39;05:55:54;06:07:52;0:11:58;0,12;Точка №2 ул.Привокзальная.
40;06:08:46;06:14:36;0:05:50;0,24;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07"""
41;06:14:52;06:18:30;0:03:38;0,09;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94"""
42;06:27:46;06:35:47;0:08:01;3,81;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21"""
43;06:40:41;06:41:59;0:01:18;1,51;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07"""
44;06:43:21;06:46:28;0:03:07;0,17;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97"""
45;06:46:48;06:49:47;0:02:59;0,11;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51"""
46;06:51:47;06:53:21;0:01:34;0,12;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33"""
47;06:53:25;06:56:13;0:02:48;0,06;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85"""
48;06:58:19;07:01:56;0:03:37;0,23;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23"""
49;07:43:46;07:46:09;0:02:23;34,37;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18"""
50;07:48:07;07:50:24;0:02:17;0,60;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78"""
51;07:51:08;07:56:44;0:05:36;0,21;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03"""
52;07:57:44;08:16:48;0:19:04;0,18;Точка №3 тупичёк за озером.
53;08:44:10;09:13:54;0:29:44;21,33;Хоз двор. Место где находится гараж.
54;09:18:20;09:25:12;0:06:52;0,90;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08"""
55;09:25:58;09:37:42;0:11:44;0,18;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68"""
56;09:39:03;09:43:37;0:04:34;0,26;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70"""
57;09:44:03;10:13:53;0:29:50;0,13;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66"""
58;10:14:48;10:18:10;0:03:22;0,14;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06"""
59;10:18:14;10:19:37;0:01:23;0,07;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26"""
60;10:19:40;10:24:44;0:05:04;0,02;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02"""
61;10:24:58;10:30:03;0:05:05;0,10;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20"""
62;10:30:50;10:32:54;0:02:04;0,16;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24"""
63;10:33:01;10:35:42;0:02:41;0,06;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14"""
64;10:39:14;10:40:40;0:01:26;1,81;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51"""
65;10:40:53;10:42:48;0:01:55;0,09;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66"""
66;10:43:40;10:45:24;0:01:44;0,11;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21"""
67;10:46:42;10:48:35;0:01:53;0,20;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95"""
68;10:50:01;10:53:03;0:03:02;0,18;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18"""
69;10:55:05;10:56:06;0:01:01;0,30;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88"""
